MFSC_0,MFSC_1,MFSC_2,MFSC_3,MFSC_4,MFSC_5,MFSC_6,MFSC_7,MFSC_8,MFSC_9,MFSC_10,MFSC_11,MFSC_12,MFSC_13,MFSC_14,MFSC_15,MFSC_16,MFSC_17,MFSC_18,MFSC_19,MFSC_20,MFSC_21,MFSC_22,MFSC_23,MFSC_24,MFSC_25,MFSC_26,MFSC_27,MFSC_28,MFSC_29,MFSC_30,MFSC_31,MFSC_32,MFSC_33,MFSC_34,MFSC_35,MFSC_36,MFSC_37,MFSC_38,MFSC_39,MFCC_0,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,timestamp,class_id
-43.964256,-40.600624,-45.516533,-38.4598,-35.052204,-35.648148,-36.68886,-47.03504,-46.68392,-44.268387,-42.028107,-46.079178,-45.671516,-47.62433,-50.170082,-55.11847,-54.792755,-57.283432,-58.78733,-56.383087,-57.290398,-58.675293,-64.777306,-70.95342,-71.896545,-75.12616,-75.662285,-79.4728,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-472.41672,158.1527,2.7790165,-29.372398,-0.43047485,-8.378764,-20.046555,-8.015149,-7.370132,-20.28,-18.013287,-4.1824656,0.4012239,0.54,0
-47.941216,-37.771065,-42.68363,-46.109985,-36.830437,-38.863003,-39.56987,-41.442104,-42.394547,-46.108826,-46.796703,-45.08577,-44.982605,-47.87935,-50.368782,-50.207657,-51.34748,-54.357613,-52.907074,-54.72544,-54.836357,-54.29534,-62.374893,-67.27094,-71.994354,-75.57654,-76.15877,-77.71255,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-467.0651,155.3284,-11.061653,-34.616295,5.25364,-6.2929673,-22.950436,-6.650821,-1.7857435,-14.440549,-11.165893,0.8185517,-0.7420801,0.567,0
-47.896645,-39.22306,-40.10087,-36.26837,-34.499184,-37.889442,-41.167637,-43.603333,-43.09375,-43.70906,-45.41767,-43.489967,-49.093952,-46.33284,-46.35801,-50.663437,-49.81675,-52.39012,-55.2978,-56.810905,-56.113007,-55.739388,-63.130013,-69.214584,-72.15889,-75.33182,-76.300514,-77.24075,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-460.99588,164.80481,-2.32172,-30.183369,8.01201,-0.64311177,-18.350325,-8.794819,-6.833825,-16.836945,-13.224056,-4.75469,-8.5953045,0.594,0
-48.23842,-40.57723,-36.956436,-31.591434,-34.136993,-34.520542,-35.52177,-38.50058,-39.30127,-43.40931,-46.186283,-46.235443,-47.894135,-47.790848,-48.830963,-48.894882,-54.23764,-53.85845,-53.394455,-54.43775,-54.421364,-58.96118,-61.322533,-66.10981,-72.24168,-73.65968,-75.12015,-77.66458,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-457.585,166.63156,-1.3806081,-27.465584,3.285342,-14.818322,-31.281471,-16.41875,-11.343101,-18.113226,-12.915668,-4.2190804,-6.86907,0.621,0
-43.25065,-36.348457,-39.608383,-38.841927,-39.52748,-33.748764,-34.007023,-40.20709,-44.426315,-40.934395,-46.407753,-40.95092,-43.543415,-47.12133,-45.899483,-48.660812,-51.25517,-53.064865,-56.49266,-57.904152,-58.512924,-57.58249,-59.454445,-66.748726,-69.08802,-72.02963,-74.378426,-78.026306,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-456.95355,165.21027,-6.1976357,-33.753983,-1.5037631,-11.123934,-18.67001,-8.730851,-14.485938,-19.697643,-8.17335,-1.5350316,-5.737439,0.648,0
-47.6044,-34.059998,-34.699066,-34.887947,-34.919186,-29.943378,-30.309633,-33.262802,-40.839268,-42.40477,-41.62639,-40.866966,-43.86026,-45.343014,-44.786156,-48.461178,-52.511856,-50.445007,-55.581642,-56.034027,-54.079735,-54.39688,-59.238052,-66.78459,-68.52367,-69.72503,-71.69095,-76.11844,-78.85467,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-439.82254,177.71924,-3.2693746,-25.941545,1.3407042,-17.04335,-22.228294,-8.4137535,-11.772328,-17.397993,-11.415944,-2.5028899,-0.29631078,0.675,0
-39.931717,-33.24195,-33.381413,-36.487823,-30.772179,-32.363335,-32.9496,-34.89861,-38.936146,-42.917934,-41.638775,-43.977154,-46.1175,-47.16933,-46.318825,-46.8803,-48.719658,-47.11708,-48.953865,-53.76523,-51.94429,-54.80326,-57.409523,-61.653267,-69.1191,-68.35632,-70.70464,-75.767296,-78.752975,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-434.82327,177.44173,-9.091469,-22.346394,12.166486,-12.116817,-25.817638,-14.766976,-14.493034,-14.287034,-9.011245,-6.185874,-4.288108,0.702,0
-42.828583,-38.49192,-35.675392,-33.90881,-35.291267,-27.710777,-32.518127,-34.39202,-41.144787,-44.4431,-37.62532,-40.026115,-42.844055,-44.119583,-40.081272,-44.53658,-43.044144,-42.768314,-50.710236,-54.322777,-51.7659,-53.15367,-56.654274,-60.39943,-67.98687,-68.18075,-72.27932,-75.43573,-77.389915,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-427.80093,178.86313,-19.752453,-32.496056,10.42626,-8.06727,-21.016874,-13.4385605,-17.986673,-17.234241,-6.975661,-5.250451,-7.354851,0.729,0
-49.199448,-36.38479,-31.604559,-32.444084,-33.01539,-26.272081,-31.260344,-40.408607,-40.294502,-43.76599,-39.269302,-40.62465,-38.606567,-41.32959,-41.693542,-44.709454,-44.078217,-45.814217,-48.125534,-51.385193,-50.885704,-54.111427,-55.724724,-63.08941,-64.48221,-66.525955,-70.035835,-75.02483,-78.73575,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-424.40225,178.95764,-22.1198,-30.344606,11.607459,-9.065327,-19.161793,-13.477847,-22.01891,-21.108654,-14.052012,-12.674227,-6.718221,0.756,0
-44.014015,-36.66825,-32.934746,-32.879063,-36.800053,-32.76812,-31.41203,-33.988346,-37.008564,-39.28656,-40.828033,-40.475388,-39.03395,-34.494934,-42.64923,-45.68364,-46.164696,-48.750053,-49.613693,-53.07464,-53.183914,-53.71087,-56.50878,-60.574753,-65.32649,-67.06848,-69.731064,-74.69174,-78.70105,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-423.10672,182.35114,-18.544886,-31.761192,5.0782776,-14.560695,-17.737558,-6.9130254,-17.30701,-17.564545,-5.2145123,-2.2911625,-3.629583,0.783,0
-40.69515,-36.90519,-32.937416,-33.369682,-31.035454,-25.785316,-31.528614,-31.381447,-39.381683,-43.546387,-39.65809,-42.23963,-42.7944,-43.093014,-43.837074,-40.963036,-42.54357,-44.229992,-46.901436,-51.097412,-50.43391,-51.43081,-53.56839,-59.359856,-62.38645,-65.07766,-68.5302,-73.539276,-74.730545,-77.69462,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-415.32373,180.70096,-25.056082,-22.042334,16.762756,-13.313807,-23.329441,-16.000076,-21.382202,-15.831421,-5.9385667,-4.8792086,-4.749765,0.81,0
