Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,timestamp,class_id
-52.380913,-53.9311,-55.296867,-56.008484,-63.694595,-61.722687,-53.79122,-57.43241,-65.18106,-64.64522,-64.397835,-62.73532,-66.10446,-65.85473,-71.506966,-79.716125,-75.641525,-74.22502,-79.02665,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-79.825264,-80.0,-80.0,-80.0,-80.0,-546.25684,75.04653,40.02987,7.890142,-5.1410522,-2.357041,4.6490984,7.936913,5.4592113,2.164333,-0.059297055,2.445436,5.8449097,0.54,1
-50.811623,-57.56447,-61.192146,-61.558304,-63.64344,-65.095566,-66.37379,-61.19079,-63.25827,-69.57238,-66.03545,-66.56165,-73.822945,-74.86165,-70.88839,-75.704575,-75.633835,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-560.1325,61.594013,38.319206,15.787823,4.0039067,2.9024928,6.0625215,8.190783,8.345103,7.644223,6.390341,4.262337,1.9682174,0.567,1
-49.79306,-58.30935,-54.821335,-50.540928,-44.52578,-45.822006,-48.260574,-47.164543,-47.43715,-43.948196,-43.54767,-45.082146,-48.127666,-45.66707,-48.248985,-43.475834,-44.12397,-44.459766,-43.04958,-47.233063,-56.166367,-56.250298,-61.71009,-64.85847,-66.768936,-68.93976,-69.96077,-72.29693,-76.1106,-77.99342,-76.33794,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-421.2952,133.40244,-44.152355,-42.75264,9.10279,2.1147122,-12.954738,-9.378073,1.3452482,7.6782665,-0.22006428,-6.987977,0.26485452,0.594,1
-30.59152,-21.056953,-20.112518,-21.218952,-22.05732,-24.226776,-21.977472,-17.824028,-17.203957,-16.900064,-16.369919,-20.775784,-26.111635,-25.588995,-27.294544,-31.138086,-30.776638,-29.52288,-28.407347,-30.01126,-37.671406,-37.965538,-33.34783,-34.659164,-34.554356,-38.1961,-36.784943,-40.34344,-43.102203,-43.413185,-43.610123,-44.296585,-46.109253,-44.511604,-48.627018,-50.750664,-59.50225,-80.0,-80.0,-80.0,-159.8198,149.48915,-58.76069,22.38375,-55.115284,8.167107,-31.330841,13.995977,-12.106175,4.8501043,-5.9877367,-22.04015,-11.111264,0.621,1
-33.042763,-22.895723,-20.68812,-22.70875,-26.956543,-26.32981,-24.308214,-24.271399,-24.631182,-22.631159,-27.904552,-25.776653,-29.9772,-34.22628,-33.636032,-34.819427,-41.934902,-38.412083,-37.873093,-38.50143,-44.593025,-41.876633,-37.86136,-45.657066,-47.76219,-48.029404,-50.59902,-49.62132,-48.66168,-50.438736,-51.58504,-55.82763,-53.26326,-54.542454,-59.138664,-64.992645,-77.34995,-80.0,-80.0,-80.0,-235.4878,169.36633,-37.761482,21.805136,-36.700066,3.1348405,-19.474323,3.3322415,-0.19055295,-10.065254,-3.589285,-11.39636,-2.6713963,0.648,1
-33.42031,-24.871475,-26.935781,-26.103691,-34.51628,-30.301437,-31.251656,-34.317783,-36.1136,-33.35328,-31.91323,-31.593113,-28.967018,-31.074192,-38.851784,-42.155804,-43.453823,-41.12495,-44.530533,-44.78224,-47.52469,-48.145584,-42.443466,-49.716217,-52.228516,-54.225243,-57.895058,-61.9627,-59.95269,-63.991814,-64.0628,-71.18279,-70.323715,-70.73689,-75.09569,-80.0,-80.0,-80.0,-80.0,-80.0,-313.23325,180.7985,-37.951942,1.0466542,-4.218082,-9.475155,1.234513,3.9895806,-1.8254318,-16.904362,-10.797288,-8.189633,-6.9268813,0.675,1
-34.119473,-24.737608,-28.602238,-28.717049,-33.67282,-38.404495,-37.67878,-38.062378,-36.199463,-36.84986,-37.407784,-40.1901,-38.997528,-40.505516,-44.226597,-49.03544,-50.57873,-46.76215,-48.450836,-46.975136,-51.869236,-49.227562,-44.966522,-48.279846,-57.408073,-59.687035,-63.643486,-67.01301,-65.7734,-68.935394,-69.226746,-72.22356,-73.87674,-74.3528,-76.92589,-80.0,-80.0,-80.0,-80.0,-80.0,-351.39258,171.20877,-25.55806,3.1375232,7.663066,-13.94651,-4.5838175,8.443939,0.96038777,-16.591694,-8.633562,-6.7253933,-15.803686,0.702,1
-38.6448,-31.91843,-28.257595,-29.97913,-34.795982,-34.793793,-37.275635,-34.195553,-40.24459,-36.401882,-36.79027,-34.179802,-35.12638,-38.413723,-46.44529,-44.291138,-42.266365,-41.332855,-41.9447,-45.355927,-52.784077,-47.344048,-45.347374,-52.368927,-57.45214,-58.002197,-60.80703,-64.80428,-66.50922,-71.30638,-74.15978,-78.79851,-75.95963,-77.55752,-79.189865,-80.0,-80.0,-80.0,-80.0,-80.0,-343.96506,178.56438,-37.49164,-5.5512214,14.598109,-11.458534,1.490414,2.521714,-2.4658134,-2.9531193,-12.624466,-14.179697,-9.471495,0.729,1
-35.351105,-27.303904,-33.748863,-34.14953,-32.954292,-36.63434,-36.383133,-36.622917,-34.47503,-36.938103,-32.984562,-30.35132,-30.93602,-35.928837,-42.876312,-41.995277,-41.747368,-39.848648,-44.839638,-44.13041,-45.986057,-44.17244,-37.279526,-43.593826,-40.501793,-40.159206,-48.050575,-47.437798,-48.671776,-50.486435,-48.74122,-58.101807,-60.534935,-59.64881,-64.332886,-68.7835,-76.67525,-80.0,-80.0,-80.0,-279.22266,128.31691,-56.337864,32.179695,-31.521029,-1.1353364,4.0682135,7.7126083,-3.1263971,-11.733977,-6.6293316,-13.483606,-7.32794,0.756,1
-43.780552,-37.67684,-36.720222,-25.04078,-26.83535,-37.436302,-39.4302,-35.163727,-33.61158,-36.149002,-32.73916,-28.249617,-29.953587,-35.889175,-36.50062,-35.154186,-37.51647,-31.09519,-36.039837,-37.553387,-43.52093,-42.240555,-32.135654,-35.749653,-40.362778,-39.935757,-39.22023,-41.819374,-43.18852,-46.114326,-49.39644,-52.057407,-50.727333,-51.59906,-56.88379,-62.903336,-71.624435,-80.0,-80.0,-80.0,-247.05865,112.51645,-72.60745,29.37217,-36.186386,12.215868,-12.470705,3.132176,-9.413849,-10.463177,-8.519091,-22.113579,-6.6173115,0.783,1
